diagnostic_score,quiz_average,overall_mastery,total_study_hours,total_attempts,study_streak,final_exam_score
27.1,41.5,42.0,3.51,14,30,36.1
89.2,87.5,68.7,39.98,7,1,69.6
48.5,42.8,38.4,6.79,18,5,34.6
44.5,53.4,45.4,24.1,27,1,45.8
88.9,70.9,63.0,17.66,18,2,67.3
84.9,81.7,70.6,37.78,11,3,72.9
90.2,61.2,69.0,4.67,14,2,60.9
77.6,64.3,63.2,4.78,13,21,59.4
72.2,65.6,65.8,18.28,16,19,67.2
79.7,76.3,75.1,60.52,19,3,80.8
83.9,57.7,59.6,12.72,16,7,58.3
75.9,62.7,56.8,9.92,7,5,59.4
57.3,51.9,56.7,20.66,14,11,53.1
70.7,70.6,64.5,55.31,11,7,69.0
53.9,60.7,49.1,38.27,16,1,47.2
61.7,64.3,60.2,100.0,14,9,61.2
41.9,42.7,38.8,2.46,13,9,38.4
62.4,51.3,45.3,4.4,9,5,49.5
60.7,53.9,56.1,20.8,15,15,50.7
48.9,57.3,51.6,36.36,10,15,45.5
58.6,46.5,45.6,8.72,14,5,42.0
81.3,71.3,68.1,7.47,15,6,67.4
79.3,72.2,81.6,32.93,8,35,71.3
52.8,40.3,43.7,3.16,11,3,35.0
56.0,58.8,49.4,11.22,15,3,48.9
71.4,66.0,60.6,16.1,15,2,57.6
71.1,50.1,58.2,18.44,15,14,56.8
64.0,52.6,54.3,28.08,16,9,48.6
82.9,73.5,63.5,10.77,12,1,61.4
50.2,53.1,55.3,20.97,19,25,57.2
70.7,60.9,61.6,19.61,10,9,54.2
53.0,48.4,42.7,17.86,10,12,49.8
66.3,61.1,52.7,22.46,17,1,49.4
77.9,64.3,50.8,8.01,11,5,57.5
49.7,55.2,45.0,3.77,13,8,43.2
68.6,65.0,55.7,4.54,15,5,50.4
60.2,55.5,56.9,7.09,7,7,49.5
75.4,64.4,66.8,15.87,12,11,64.1
75.6,65.7,57.9,38.71,16,3,60.5
82.3,68.1,71.6,26.17,7,12,71.7
75.3,64.5,62.3,33.12,7,2,65.9
70.6,59.8,54.1,10.65,10,2,48.7
59.4,58.9,45.3,12.37,11,1,42.8
65.9,62.4,54.9,12.01,13,3,48.8
64.6,67.1,57.8,6.26,13,3,51.9
68.0,50.1,48.7,3.26,11,11,52.0
51.0,45.5,45.7,19.88,13,7,45.8
66.5,56.5,54.0,92.6,18,4,56.3
48.8,36.7,40.2,5.65,10,7,36.9
89.8,74.6,68.9,2.96,7,1,70.2
36.1,50.2,43.3,32.24,12,2,48.9
44.8,51.6,45.7,7.82,12,7,44.0
57.2,63.6,57.5,37.4,13,7,47.6
60.5,68.1,60.4,26.34,9,10,60.3
69.0,67.5,57.8,60.25,13,4,65.8
81.2,80.8,78.9,12.52,12,8,72.6
81.5,53.8,49.3,23.69,10,8,56.4
87.4,67.0,78.2,14.5,8,21,72.3
51.9,54.9,44.6,21.92,22,2,41.4
94.1,88.7,76.8,13.94,25,5,72.2
56.3,40.3,42.9,6.18,18,6,39.2
83.0,57.9,64.5,16.18,20,40,68.5
60.8,66.8,53.2,17.04,15,2,50.9
56.5,63.7,51.9,35.28,10,5,55.7
57.4,59.4,50.9,28.6,12,3,52.5
67.8,62.2,54.1,23.8,22,5,60.7
69.6,61.4,61.9,4.41,10,2,55.2
71.5,58.9,61.0,27.5,7,1,51.1
68.9,66.5,52.6,15.88,9,6,57.6
76.5,84.7,73.9,46.91,12,3,80.9
64.1,56.5,54.6,52.48,12,2,58.4
39.2,39.5,37.4,3.13,16,3,31.3
47.6,55.7,43.3,36.37,12,1,42.5
96.2,78.1,81.3,2.77,13,19,72.1
60.1,50.6,46.0,11.15,16,6,52.9
87.0,84.0,77.1,17.63,18,11,73.1
84.8,67.1,59.0,5.21,10,4,56.8
56.0,56.1,56.2,29.43,14,15,53.9
70.0,70.9,57.1,2.17,14,5,55.6
77.0,70.6,64.4,5.69,17,6,66.8
54.0,58.1,46.4,19.39,15,5,44.4
66.3,56.3,56.6,27.06,17,9,59.3
59.4,52.9,47.5,51.69,10,6,52.3
52.1,61.8,52.5,26.45,15,2,55.6
47.9,58.4,51.9,24.28,16,1,54.5
46.4,50.4,51.8,12.03,17,6,46.0
48.1,46.7,32.9,2.03,8,5,35.2
55.6,52.5,42.7,4.56,14,1,43.0
79.7,71.2,63.9,17.3,19,4,62.4
31.4,54.6,45.4,24.49,17,5,37.3
64.9,67.9,57.0,12.81,13,11,62.6
79.3,66.2,56.2,28.24,12,1,60.0
47.1,43.4,40.1,16.76,9,3,35.2
66.7,64.6,62.3,3.54,14,11,50.2
76.6,60.0,60.9,6.26,5,7,48.8
32.3,46.1,39.3,38.65,7,3,42.5
89.2,84.9,81.8,27.81,14,12,75.9
87.2,74.3,70.2,47.03,14,5,69.6
57.3,42.8,43.2,4.5,10,5,42.7
64.0,71.7,76.1,94.55,14,24,72.4
75.4,65.7,60.7,6.7,16,19,62.5
66.0,60.7,60.9,2.24,12,3,54.4
66.0,70.0,50.3,100.0,11,1,59.9
58.7,54.7,45.0,8.6,16,3,40.1
69.2,69.1,58.4,24.05,12,1,55.6
45.3,42.1,39.9,5.89,8,1,39.0
55.6,61.6,41.3,19.36,13,4,44.9
62.8,54.2,58.9,48.88,16,18,63.2
60.0,61.1,62.6,9.72,11,13,64.6
77.9,75.2,71.6,24.19,15,5,69.9
88.3,65.2,62.0,6.16,14,6,66.1
69.5,64.8,55.7,21.61,10,1,58.4
43.5,49.4,39.2,10.2,8,2,37.3
54.5,60.4,48.9,6.75,16,1,48.2
67.8,64.4,56.9,9.51,8,9,63.0
70.8,69.8,56.6,5.94,15,1,54.3
80.4,88.3,82.6,48.44,13,13,76.9
60.7,66.2,59.6,12.12,8,7,52.2
51.1,60.9,52.4,7.63,12,2,47.9
60.0,58.8,52.3,13.9,14,2,46.8
65.7,60.8,59.9,9.73,12,7,61.1
60.3,67.4,68.0,29.28,12,15,63.9
66.6,74.1,58.9,72.96,13,8,69.4
69.0,74.3,60.2,13.53,11,3,58.7
57.7,56.0,50.7,41.47,17,6,48.5
42.0,50.5,42.5,18.69,13,3,37.0
41.8,36.2,44.5,5.42,11,40,38.8
65.0,75.0,70.3,25.46,15,9,66.8
51.0,47.1,52.5,16.41,13,6,48.1
45.3,40.5,38.8,23.03,13,4,40.6
75.1,66.4,62.6,46.09,7,6,58.6
91.7,81.0,76.8,13.61,15,3,72.2
67.0,69.3,51.5,48.29,13,1,54.8
74.8,70.9,63.8,29.78,14,4,64.7
66.2,70.7,73.1,15.41,20,17,67.5
61.0,57.4,51.3,20.49,11,7,47.3
76.6,70.8,57.3,9.88,16,1,61.5
62.6,60.5,59.6,84.21,11,14,70.8
60.8,67.7,56.8,24.01,11,2,59.0
61.4,58.2,47.8,2.9,6,2,46.8
44.5,53.9,53.7,9.91,18,3,45.2
66.1,78.3,65.2,21.53,11,6,63.1
52.8,52.3,43.0,3.16,14,5,40.1
55.7,52.2,47.8,2.48,14,5,45.9
65.4,63.0,62.6,13.96,13,8,53.6
56.5,51.2,46.7,10.09,8,3,38.4
65.7,54.4,57.0,13.54,7,10,54.0
49.1,55.6,43.3,8.1,9,2,43.4
85.4,69.4,75.0,5.6,16,10,65.2
78.1,76.9,72.1,25.37,11,7,64.3
56.7,62.4,60.6,16.45,13,8,56.4
79.8,74.3,69.0,6.47,8,5,61.1
77.6,74.0,71.3,9.7,8,7,65.2
73.6,64.9,54.4,19.92,7,1,62.1
55.0,65.5,58.3,3.5,15,12,56.6
32.3,48.3,43.0,5.19,16,1,32.7
47.0,44.2,45.1,3.52,16,1,35.0
59.7,63.7,52.1,35.46,11,6,55.5
53.3,56.7,53.7,29.92,13,9,47.4
52.9,52.8,43.8,29.99,16,1,38.8
62.6,69.5,64.2,27.2,16,16,64.5
74.6,74.2,78.1,24.14,14,23,73.5
63.7,71.2,66.8,14.96,19,6,62.6
73.3,70.9,65.7,22.56,19,5,64.0
60.5,55.8,52.7,2.78,11,9,49.4
46.7,48.3,44.5,21.43,16,3,40.6
42.4,59.7,48.0,32.09,15,5,50.4
66.9,68.2,68.9,15.88,10,16,68.8
57.5,48.3,60.9,10.85,11,20,51.1
77.2,65.5,60.5,8.5,16,17,57.1
84.8,73.2,69.5,22.59,7,2,62.7
77.8,78.0,61.3,25.61,12,2,61.1
70.3,55.5,57.6,42.95,13,3,57.6
74.5,77.7,65.1,10.38,7,4,55.9
59.3,69.7,53.6,31.37,20,3,57.8
57.1,61.7,55.9,18.48,11,3,55.0
66.3,61.1,58.3,44.88,19,6,52.6
63.8,66.1,57.0,17.01,9,9,53.2
51.8,62.9,51.1,16.58,14,9,51.5
64.9,60.9,58.6,19.25,11,11,56.0
62.3,63.0,49.2,29.67,15,1,54.4
59.4,62.4,48.6,68.87,12,1,55.6
78.9,63.6,64.3,3.53,9,10,64.4
70.7,64.2,55.3,3.1,16,5,53.2
91.2,82.0,77.3,57.47,19,6,74.9
50.8,53.9,51.6,17.1,11,1,43.4
38.7,33.2,30.2,21.09,9,2,33.9
74.4,70.6,65.6,15.17,16,7,62.7
44.7,44.7,53.9,3.97,15,13,47.0
50.4,66.1,57.1,31.23,11,16,59.4
44.4,60.6,55.3,29.51,13,5,44.6
43.7,33.4,38.2,9.47,9,5,30.5
82.9,62.2,68.7,9.31,6,12,59.4
66.8,70.5,67.1,38.38,10,5,61.3
54.0,44.7,44.4,3.5,13,5,39.9
28.8,37.7,36.5,44.59,9,15,41.9
46.2,57.0,56.1,7.93,16,10,53.7
75.2,65.4,71.6,19.98,14,15,64.4
38.5,44.3,41.8,56.98,14,2,42.4
66.0,80.3,67.8,24.67,17,5,63.1
61.2,62.1,56.9,12.7,11,12,55.2
66.8,69.6,59.8,25.39,12,1,59.6
66.6,56.3,60.2,10.43,13,10,57.6
49.7,51.4,48.5,8.49,11,2,47.0
78.8,79.2,72.1,100.0,13,11,67.2
57.0,52.9,50.8,29.79,12,6,49.6
67.2,58.0,47.6,22.7,16,2,55.5
65.2,56.7,56.6,10.78,21,4,50.7
59.9,63.0,54.4,3.01,17,8,56.1
60.6,49.9,52.5,2.63,14,7,46.3
51.5,66.3,50.4,18.16,13,4,51.8
90.2,80.7,84.1,30.71,16,15,74.8
37.0,48.2,42.5,17.42,12,5,36.4
30.6,52.5,39.0,38.75,5,5,44.2
79.7,78.5,70.4,2.68,9,1,68.3
71.6,64.2,63.7,11.14,8,16,60.6
63.2,48.1,48.9,7.41,16,2,41.4
81.5,70.6,64.6,13.86,9,5,63.1
44.3,52.6,42.4,3.5,12,11,46.7
89.0,82.7,69.1,63.64,10,2,81.2
76.9,68.7,61.8,7.05,18,5,58.6
59.6,65.4,60.8,53.1,13,2,54.4
80.2,86.5,81.0,13.1,9,9,77.3
49.4,70.9,65.0,86.71,17,6,63.0
74.9,68.9,73.9,18.15,19,12,69.9
73.5,61.2,61.4,55.42,8,14,65.1
65.7,70.9,62.4,2.11,15,7,55.2
85.6,88.4,77.6,29.59,11,8,76.6
66.6,63.1,54.8,48.67,10,5,63.1
61.2,54.2,42.3,5.01,12,3,44.0
77.0,64.9,62.3,4.02,9,7,55.1
60.2,55.3,52.1,13.05,11,15,45.9
86.8,85.4,75.2,56.26,10,4,74.6
51.6,59.1,58.6,17.63,13,3,50.5
56.7,47.6,43.1,16.99,15,4,46.5
75.6,54.3,54.6,5.04,11,4,48.0
57.3,41.1,43.2,2.02,15,1,44.9
57.1,60.0,54.4,35.23,10,5,49.4
85.2,68.3,66.4,3.83,10,5,70.6
58.8,53.5,48.9,22.09,10,6,55.0
45.9,51.7,43.4,51.21,16,3,47.4
71.5,67.6,58.2,6.68,12,6,51.4
95.0,81.2,83.6,23.89,10,13,78.2
67.5,70.3,64.1,3.64,16,20,60.3
91.9,75.2,75.6,20.51,11,6,66.9
51.8,44.2,34.5,5.58,15,1,37.6
55.7,48.8,60.2,28.63,16,22,52.1
74.8,83.8,72.4,9.17,9,8,66.1
65.2,63.3,51.1,14.45,9,3,51.7
55.6,53.1,48.7,20.3,16,1,45.1
72.3,71.3,65.2,5.76,12,1,67.3
74.5,71.6,61.0,29.07,15,2,60.1
79.5,61.1,60.0,9.21,14,1,58.2
88.2,71.9,65.1,23.72,9,15,68.3
44.0,51.1,39.4,5.45,6,5,41.0
77.3,67.9,70.0,25.3,9,8,66.8
65.1,55.2,55.1,4.74,15,11,54.8
73.1,61.6,53.8,13.08,10,10,56.4
94.0,72.6,72.6,7.68,7,14,70.5
71.6,70.0,69.4,29.6,20,22,68.0
87.4,60.1,59.6,8.08,10,4,57.6
81.8,75.1,75.4,44.69,14,19,71.5
57.1,53.4,51.8,46.48,14,8,52.8
40.4,52.4,41.9,6.37,13,1,40.7
48.3,38.0,45.1,21.03,11,8,42.6
34.8,37.1,37.4,3.84,14,8,34.1
100.0,86.1,87.5,11.94,15,15,80.4
53.3,48.4,48.8,26.99,18,3,46.2
52.5,65.2,54.3,23.54,16,6,51.6
62.5,65.9,50.7,21.6,12,1,54.2
74.7,46.8,53.4,8.64,15,3,48.6
88.6,68.3,64.3,11.5,14,1,63.1
84.1,50.8,55.1,4.17,8,5,56.2
62.9,57.7,54.4,27.39,14,11,52.1
63.1,60.2,50.6,16.02,12,2,53.0
72.1,53.5,56.5,26.67,10,5,54.7
71.5,66.3,62.8,7.73,10,2,65.0
76.8,78.6,70.1,9.84,20,1,64.7
69.1,61.9,60.6,10.14,18,5,58.6
69.1,70.8,62.7,2.52,12,1,58.0
77.3,56.7,57.5,10.34,7,6,50.2
91.3,70.3,64.9,34.52,15,1,64.7
62.8,56.0,54.7,47.52,13,1,57.8
27.7,57.8,43.1,16.61,10,5,40.1
67.3,67.2,62.2,14.16,13,6,50.9
63.2,54.1,45.7,2.63,17,1,45.4
61.9,61.2,53.1,44.27,10,6,52.3
76.6,64.2,64.0,2.26,10,12,60.3
80.1,77.6,68.2,59.92,7,8,77.7
55.1,62.6,55.1,15.44,9,1,54.4
73.4,65.2,55.7,10.37,20,6,61.6
82.2,79.4,72.7,53.6,11,7,72.0
85.8,58.8,57.9,2.49,14,1,55.0
99.6,85.0,75.9,19.42,13,12,73.1
68.3,68.8,65.6,17.92,15,15,60.3
35.5,35.0,38.1,6.95,15,12,31.1
74.8,61.9,64.1,13.2,12,11,55.4
68.4,72.2,65.0,23.13,12,9,67.9
92.0,74.6,74.7,27.98,11,7,64.6
75.9,64.6,61.5,2.01,9,7,62.7
57.2,59.3,56.5,57.25,12,11,62.8
63.0,39.0,44.3,5.6,11,7,43.5
62.5,52.9,52.8,7.32,11,3,44.7
59.2,50.9,44.4,8.12,16,3,38.8
52.0,47.7,48.1,2.77,13,14,42.9
76.1,69.8,58.8,4.63,10,1,59.9
90.9,85.4,77.4,87.88,15,8,80.8
55.4,73.3,75.5,9.57,12,20,61.8
64.4,47.9,52.0,4.45,11,8,51.7
81.5,48.8,60.1,4.26,7,32,64.3
78.6,81.0,70.6,27.42,14,8,69.2
47.6,51.2,44.7,40.56,11,1,46.4
65.9,59.2,55.0,7.94,11,11,48.2
65.9,53.2,47.3,2.42,16,3,45.2
56.9,62.8,59.6,7.05,15,4,55.1
75.6,70.5,60.5,3.16,12,3,59.9
67.4,53.1,53.7,4.18,14,2,47.6
82.5,65.2,67.2,13.3,15,4,61.3
57.1,52.2,44.4,7.23,14,3,42.7
50.5,62.1,50.5,16.51,13,7,49.2
86.0,67.3,67.4,7.85,15,11,65.7
72.9,56.8,49.7,58.45,9,3,49.7
100.0,80.2,74.8,49.28,20,2,76.5
50.4,58.6,51.1,18.73,13,7,50.8
70.1,68.3,64.1,10.75,9,7,58.0
61.4,72.1,73.2,11.6,12,15,62.9
49.6,42.6,41.8,12.62,9,1,37.7
36.0,50.2,48.3,28.01,15,12,43.7
59.0,43.6,36.0,14.02,8,5,40.0
76.5,80.6,72.8,40.86,7,6,72.1
43.8,74.0,62.8,59.68,15,1,54.0
91.2,79.9,61.1,10.19,14,4,67.9
41.3,61.1,51.0,18.45,14,2,46.7
73.6,55.2,52.1,4.0,10,2,57.2
70.1,73.9,61.4,6.47,14,5,55.6
93.3,80.5,81.4,12.67,10,11,72.3
77.2,77.8,78.3,6.62,10,9,68.7
79.4,90.5,80.8,43.84,19,6,79.9
92.5,67.5,65.1,5.45,15,5,56.4
76.2,70.4,59.9,14.16,13,4,57.1
69.0,61.6,68.6,20.61,18,23,65.6
57.0,59.5,57.0,25.54,9,6,50.6
53.7,57.8,47.8,11.66,9,2,51.7
68.7,62.5,54.7,42.67,12,2,55.8
51.7,47.7,56.4,18.8,10,6,45.3
63.4,56.0,56.8,13.58,9,5,54.4
53.1,64.0,56.9,3.39,12,1,56.6
73.3,75.2,64.2,14.5,16,11,65.3
62.3,75.3,62.7,36.38,11,8,67.9
90.8,75.8,72.7,21.07,15,7,76.4
49.2,48.6,38.0,37.7,9,1,39.4
51.0,54.2,53.5,15.62,13,3,51.5
47.1,52.5,59.1,4.52,16,17,45.0
40.5,39.2,39.3,2.27,8,13,38.1
63.2,56.7,58.8,9.23,13,3,52.1
58.7,66.1,55.5,25.95,12,2,59.3
82.3,81.2,82.1,33.24,11,4,79.2
79.4,67.2,62.5,9.01,17,3,61.8
46.5,47.7,47.4,15.69,15,8,45.1
90.3,77.3,87.1,12.93,14,21,79.6
99.5,61.4,68.6,12.57,15,3,64.6
61.8,65.8,57.5,7.26,10,1,53.6
47.0,56.2,53.9,4.93,13,15,54.2
57.8,50.2,47.3,6.38,11,1,49.9
54.4,55.6,55.1,3.14,11,19,50.7
77.7,71.5,67.1,6.42,12,7,63.8
85.1,73.2,71.6,2.18,9,18,68.3
84.5,77.6,61.7,21.74,9,2,59.3
70.9,49.4,48.2,9.61,19,1,46.1
55.7,53.8,54.3,74.35,16,5,61.3
73.9,60.5,60.9,6.31,12,4,53.4
28.9,39.2,32.2,10.49,11,3,38.4
60.3,68.0,74.9,10.86,12,20,68.7
40.2,51.0,45.0,2.17,11,11,43.3
52.0,62.4,47.0,38.55,19,7,53.8
50.3,40.7,29.5,2.65,9,2,30.0
76.3,75.8,65.2,58.33,17,9,68.9
55.8,64.7,60.8,46.53,12,8,64.6
48.4,54.1,44.4,17.34,12,4,42.5
24.5,25.9,33.1,17.69,7,16,33.5
66.3,68.4,65.4,23.21,10,2,55.6
95.9,86.8,72.9,11.79,18,2,68.6
75.3,76.7,67.4,22.84,11,1,71.7
61.0,54.1,55.8,2.92,16,10,50.5
64.0,46.7,44.2,3.11,13,6,41.9
68.2,56.5,58.2,14.22,13,3,58.3
56.6,48.9,43.6,17.95,13,2,48.3
91.7,65.4,61.3,45.75,11,1,68.3
74.9,63.8,66.6,4.21,14,2,56.8
85.3,71.8,68.9,36.59,12,4,67.2
57.7,55.7,52.8,6.72,21,2,49.4
63.6,59.2,58.0,12.02,14,2,55.5
56.4,47.9,48.0,9.61,13,13,44.5
55.0,55.7,55.2,12.22,13,5,50.6
53.7,58.6,52.0,5.26,8,9,50.2
71.8,77.1,62.6,16.01,11,1,66.5
89.5,79.5,70.8,34.35,15,3,74.2
57.3,54.7,47.6,13.65,12,5,42.1
93.6,73.4,71.9,15.49,13,2,67.7
59.3,64.7,55.3,39.78,18,1,52.8
70.7,65.9,63.0,26.49,18,13,64.0
56.8,52.6,59.3,15.48,17,18,56.9
23.5,40.1,29.4,7.96,14,1,28.9
79.9,67.8,61.2,45.24,17,3,63.0
67.4,68.4,70.1,19.21,12,20,65.4
56.0,57.7,51.1,7.0,6,1,48.5
67.5,59.9,58.5,8.27,18,7,52.4
74.6,68.4,72.1,34.5,12,23,65.4
33.6,40.7,50.6,2.9,12,24,35.0
66.0,59.0,53.4,98.8,14,4,63.0
80.7,71.7,61.8,4.79,12,2,62.2
41.8,47.1,34.1,33.8,13,2,40.3
56.8,65.9,66.1,12.04,15,14,63.5
44.8,50.9,50.8,15.55,14,15,42.8
68.0,64.4,60.1,44.51,9,6,54.8
65.4,60.9,62.5,12.65,11,9,58.3
39.5,41.3,38.2,17.42,10,9,38.7
65.2,75.3,60.2,3.01,13,7,52.8
51.6,43.9,46.1,2.05,18,11,43.5
51.2,48.2,47.8,7.62,12,8,42.8
72.9,59.5,55.9,24.83,14,5,53.2
75.5,62.4,63.4,4.59,12,2,56.1
64.2,56.6,45.5,4.42,17,9,39.4
50.6,62.8,57.2,12.59,6,4,49.8
81.5,67.9,66.1,22.87,12,3,61.0
72.9,67.4,66.5,26.9,14,10,65.6
74.3,65.8,49.5,5.93,17,8,53.5
60.5,48.0,59.9,3.66,6,18,54.0
62.5,61.4,49.6,58.4,9,2,47.0
63.1,55.4,51.2,8.04,9,7,46.7
41.2,52.4,42.3,40.39,20,2,46.4
41.4,44.5,47.7,41.83,13,15,45.6
70.2,73.8,65.0,31.61,19,1,66.4
79.4,69.2,69.1,5.7,7,7,57.0
41.8,36.2,41.4,36.5,12,10,42.9
42.6,51.9,44.6,31.33,12,3,42.3
78.4,71.1,75.3,20.16,24,19,67.3
89.1,77.5,71.6,10.23,20,12,73.3
64.2,66.0,54.5,8.09,9,3,57.7
55.4,39.2,41.5,4.6,14,1,41.8
50.4,56.9,51.9,16.26,16,3,55.5
78.0,74.7,69.0,19.6,21,3,70.0
66.8,40.8,47.5,10.91,17,14,43.4
60.9,47.1,60.4,14.9,14,22,54.3
57.7,60.3,46.6,11.04,21,1,46.4
53.6,54.0,52.5,22.49,13,4,56.3
64.4,74.0,62.4,48.31,9,5,68.1
98.6,82.0,81.2,5.58,11,1,73.4
67.9,66.1,52.4,11.61,12,3,57.0
63.3,57.5,59.2,5.04,13,3,48.0
70.1,60.7,55.5,21.61,14,5,56.3
36.9,35.1,33.0,28.1,12,7,31.1
89.8,67.7,68.7,55.74,12,8,64.8
51.7,58.9,46.1,8.54,9,1,48.4
75.5,68.8,66.5,62.0,19,11,72.1
92.0,79.1,71.7,3.31,10,7,70.8
67.2,61.9,59.6,20.48,17,14,57.7
39.4,54.9,47.1,3.18,16,4,38.1
55.4,68.5,59.7,46.84,11,14,57.3
72.8,78.3,69.9,17.09,14,13,64.2
61.7,70.3,54.5,24.13,19,4,55.7
43.8,47.8,39.4,37.63,12,3,46.0
85.5,72.1,80.1,5.26,9,17,74.8
57.3,50.3,45.9,2.79,10,8,38.9
93.7,86.4,82.5,44.22,13,17,80.1
71.4,72.2,67.9,9.56,10,10,60.7
51.7,53.6,47.2,4.76,15,6,36.1
97.3,69.1,75.3,14.64,9,1,70.8
60.1,62.2,53.5,20.24,9,3,51.9
90.2,69.1,78.5,2.63,9,22,70.7
69.8,62.1,60.3,8.43,11,3,60.4
53.2,52.2,48.9,2.67,10,1,44.6
64.6,59.0,57.3,12.91,15,8,52.6
89.6,74.1,71.6,47.09,12,9,74.8
59.4,72.6,68.3,83.09,23,3,70.7
56.2,56.8,49.5,22.27,10,3,50.2
51.2,55.5,46.7,5.53,7,4,47.4
73.6,72.3,59.8,49.26,14,1,63.3
100.0,81.9,73.2,16.52,11,10,73.9
50.1,44.8,44.5,5.34,21,3,40.9
70.3,66.2,55.1,52.95,15,12,59.3
97.9,75.9,76.0,30.33,8,10,72.7
66.9,56.0,53.7,28.31,9,7,58.7
73.8,67.4,69.7,26.7,15,3,70.8
38.0,45.0,32.2,6.47,15,5,39.8
50.0,66.6,51.2,6.74,14,4,45.3
65.5,69.3,59.2,25.31,20,3,53.7
78.0,63.6,64.1,6.96,18,12,56.3
77.5,82.8,69.9,13.55,21,5,68.3
96.9,84.6,81.8,32.47,12,12,70.1
72.6,64.1,52.2,32.65,8,1,54.2
78.6,69.6,63.4,14.08,20,1,65.9
68.4,64.5,60.9,33.42,15,24,66.6
54.1,60.5,53.3,38.48,10,6,52.1
77.7,64.0,58.4,23.27,10,5,57.5
59.1,51.6,52.8,7.19,9,5,50.0
71.6,66.1,65.8,8.4,19,2,62.4
79.6,71.8,66.5,9.56,13,8,61.9
45.7,41.0,42.2,4.48,13,1,36.5
81.6,73.5,66.8,8.38,11,6,62.2
83.5,65.9,60.2,6.7,12,6,54.9
67.2,54.9,66.3,14.15,14,16,57.6
33.1,51.0,44.0,49.81,13,5,43.8
41.8,45.7,38.5,4.21,12,1,32.2
79.7,64.3,64.9,27.48,10,6,64.9
71.0,66.9,59.6,25.25,16,1,60.4
48.6,46.0,40.7,4.01,11,2,41.3
56.0,58.6,44.5,53.17,7,1,48.4
84.7,68.1,63.9,18.81,8,5,56.2
67.0,67.3,60.2,11.04,13,1,58.3
49.3,58.7,49.4,30.26,17,4,47.3
58.6,62.2,65.7,7.95,7,17,55.1
55.6,52.5,51.8,25.65,14,8,45.6
44.4,49.6,37.9,2.81,11,1,36.8
86.2,84.2,68.0,38.58,14,2,77.1
64.4,54.8,52.5,13.89,14,7,49.1
82.0,69.1,68.2,22.25,9,14,62.8
88.8,79.7,72.0,7.0,15,1,70.5
93.5,67.9,67.8,24.61,11,11,68.5
56.2,57.7,49.8,31.59,17,6,43.8
72.9,70.0,67.4,14.82,12,5,64.7
60.6,62.7,65.4,21.23,12,20,68.2
45.6,42.7,39.6,14.19,8,9,30.3
64.9,78.2,70.4,46.9,17,12,65.3
44.7,47.2,46.8,15.78,10,3,32.4
84.5,74.0,69.7,38.88,10,5,69.2
77.3,60.5,61.6,34.32,9,6,64.1
62.1,66.7,54.3,12.57,15,3,54.2
65.6,71.7,67.1,7.23,11,6,65.6
60.9,50.5,56.0,12.42,14,2,52.2
76.4,75.0,61.6,37.0,15,1,70.2
60.5,58.1,47.1,7.17,11,3,51.7
87.5,69.4,69.6,16.87,10,9,65.3
26.7,54.0,52.2,34.81,7,16,48.1
47.7,64.0,52.4,10.72,4,4,46.7
88.2,75.7,67.5,22.56,16,7,67.4
59.8,58.9,50.5,7.64,15,1,48.9
43.0,44.6,48.9,4.31,21,15,42.6
48.1,63.0,51.8,33.63,9,6,57.1
72.1,57.4,60.9,4.08,9,10,54.5
71.9,73.3,72.6,8.33,15,10,62.1
63.1,68.4,59.0,40.64,13,2,56.5
66.0,66.5,59.3,10.51,12,5,58.8
72.8,85.7,85.0,74.27,16,20,77.8
71.6,70.2,57.2,79.98,14,1,63.1
56.6,52.4,46.6,8.25,18,8,50.7
78.4,60.9,67.7,2.84,11,21,63.2
68.8,89.2,70.5,26.42,13,3,69.4
56.3,60.6,55.0,13.99,13,13,53.1
42.3,57.5,62.6,4.12,11,17,48.6
78.4,77.9,80.4,26.59,11,9,69.8
59.0,52.2,45.9,2.63,13,2,43.7
41.0,44.3,39.0,42.83,13,3,42.1
62.0,62.6,52.9,4.99,14,1,54.1
57.9,50.5,55.8,4.72,19,11,49.6
68.2,80.0,77.4,5.86,11,12,73.3
84.5,74.3,62.8,66.51,9,7,76.2
63.8,69.8,61.5,25.63,13,3,62.2
77.5,67.6,55.3,34.33,9,1,63.8
44.5,65.5,62.8,12.14,18,9,51.1
53.0,71.4,62.7,10.2,15,8,53.4
68.1,66.6,62.7,7.34,14,15,61.4
75.3,78.6,70.4,15.1,15,9,62.6
83.0,61.0,62.8,18.05,13,11,60.3
40.9,47.5,46.2,21.98,9,9,46.1
84.4,65.4,68.7,7.94,13,7,68.1
72.4,56.4,49.8,61.38,12,4,56.1
79.7,68.9,77.6,5.72,17,15,65.6
72.4,67.6,69.3,69.42,12,7,70.0
90.8,85.3,72.8,2.3,17,4,66.8
49.3,68.8,54.5,15.12,11,1,51.6
71.0,57.2,60.7,10.11,14,3,54.7
59.8,71.1,65.6,13.92,13,5,59.5
64.8,66.9,56.2,18.91,12,2,56.0
63.7,67.8,61.1,13.44,18,2,54.1
32.9,36.1,44.9,12.72,18,5,33.7
61.7,51.9,48.2,28.39,10,2,46.2
47.3,49.4,45.0,25.16,11,10,39.6
89.9,74.9,71.1,37.83,11,5,72.3
88.3,77.5,73.2,7.75,17,6,72.1
48.8,62.8,48.4,20.81,17,1,51.5
